"subject_id","X1__0","X2__0","X3__0","X4__0","X5__0","X1__1","X2__1","X3__1","X4__1","X5__1","X1__2","X2__2","X3__2","X4__2","X5__2","X1__3","X2__3","X3__3","X4__3","X5__3","X1__4","X2__4","X3__4","X4__4","X5__4","X1__5","X2__5","X3__5","X4__5","X5__5","X1__6","X2__6","X3__6","X4__6","X5__6","X1__7","X2__7","X3__7","X4__7","X5__7","X1__8","X2__8","X3__8","X4__8","X5__8","X1__9","X2__9","X3__9","X4__9","X5__9","X1__10","X2__10","X3__10","X4__10","X5__10"
"128","27.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","36.0","67.0","27.0","15.0","10.0","36.0","78.0","27.0","42.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","42.0","56.0","36.0","67.0","27.0","42.0","10.0","52.0","78.0"
"317","44.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","52.0","78.0","44.0","15.0","56.0","36.0","67.0","27.0","15.0","56.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","44.0","42.0","56.0","36.0","67.0","27.0","15.0","10.0","36.0","67.0","27.0","15.0","56.0","36.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","78.0"
"716","44.0","15.0","10.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","52.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","36.0","78.0","27.0","15.0","10.0","52.0","67.0","27.0","42.0","10.0","36.0","78.0","27.0","15.0","10.0","36.0","67.0","27.0","42.0","10.0","52.0","67.0","27.0","15.0","10.0","36.0","67.0","27.0","15.0","10.0","36.0","78.0"
"691","27.0","15.0","10.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","44.0","42.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","56.0","36.0","67.0","44.0","42.0","10.0","36.0","78.0","27.0","15.0","10.0","36.0","67.0","27.0","15.0","10.0","36.0","78.0","27.0","42.0","56.0","36.0","67.0","27.0","42.0","10.0","52.0","78.0"
"1226","44.0","15.0","10.0","36.0","78.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","56.0","36.0","78.0","27.0","42.0","10.0","52.0","67.0","44.0","42.0","56.0","36.0","67.0","44.0","15.0","56.0","36.0","67.0","27.0","42.0","10.0","52.0","67.0","44.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","36.0","67.0","44.0","15.0","56.0","36.0","78.0","44.0","15.0","10.0","52.0","67.0"
"415","27.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","52.0","67.0","44.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","42.0","56.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","36.0","78.0","27.0","42.0","56.0","52.0","67.0","27.0","42.0","56.0","52.0","78.0"
"1365","44.0","42.0","10.0","52.0","78.0","44.0","15.0","56.0","36.0","78.0","44.0","15.0","10.0","52.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","56.0","36.0","78.0","44.0","15.0","10.0","36.0","67.0","44.0","42.0","10.0","52.0","67.0","44.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","56.0","36.0","67.0"
"1675","44.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","36.0","67.0","27.0","15.0","10.0","36.0","67.0","27.0","15.0","56.0","52.0","78.0","44.0","42.0","10.0","52.0","67.0","27.0","42.0","10.0","36.0","78.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","67.0","44.0","15.0","10.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","67.0"
"1681","44.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","56.0","36.0","78.0","44.0","15.0","10.0","36.0","67.0","44.0","42.0","10.0","52.0","67.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","10.0","52.0","67.0","44.0","15.0","10.0","36.0","67.0","44.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","52.0","67.0"
"147","44.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","36.0","78.0","27.0","15.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","42.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","10.0","52.0","78.0","27.0","15.0","56.0","36.0","67.0","27.0","15.0","10.0","52.0","78.0","44.0","15.0","56.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0"
"591","27.0","15.0","56.0","52.0","67.0","27.0","15.0","10.0","52.0","78.0","27.0","42.0","56.0","36.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","15.0","56.0","36.0","67.0","27.0","15.0","56.0","52.0","67.0","27.0","42.0","56.0","52.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","36.0","78.0","27.0","42.0","10.0","36.0","78.0","27.0","42.0","10.0","52.0","78.0"
"1982","44.0","42.0","10.0","36.0","78.0","27.0","42.0","10.0","52.0","67.0","44.0","15.0","10.0","36.0","67.0","44.0","42.0","10.0","52.0","67.0","44.0","42.0","10.0","52.0","67.0","27.0","42.0","56.0","52.0","67.0","27.0","42.0","10.0","52.0","67.0","27.0","42.0","10.0","36.0","67.0","27.0","42.0","10.0","52.0","78.0","27.0","42.0","10.0","36.0","67.0","44.0","42.0","10.0","36.0","78.0"
