"subject_id","X1__0","X2__0","X3__0","X4__0","X5__0","X1__1","X2__1","X3__1","X4__1","X5__1","X1__2","X2__2","X3__2","X4__2","X5__2","X1__3","X2__3","X3__3","X4__3","X5__3","X1__4","X2__4","X3__4","X4__4","X5__4","X1__5","X2__5","X3__5","X4__5","X5__5"
"0","15.0","70.0","83.0","89.0","84.0","30.0","5.0","83.0","89.0","1.0","15.0","26.0","19.0","35.0","84.0","15.0","60.0","83.0","4.0","62.0","15.0","5.0","83.0","68.0","1.0","52.0","70.0","50.0","68.0","1.0"
"1","52.0","70.0","50.0","89.0","30.0","30.0","70.0","50.0","4.0","62.0","15.0","5.0","50.0","68.0","62.0","15.0","70.0","83.0","35.0","1.0","30.0","60.0","25.0","35.0","62.0","15.0","5.0","83.0","89.0","30.0"
"2","30.0","70.0","19.0","89.0","84.0","52.0","60.0","50.0","4.0","30.0","30.0","26.0","50.0","4.0","84.0","28.0","5.0","19.0","4.0","30.0","52.0","5.0","19.0","68.0","62.0","28.0","70.0","25.0","35.0","1.0"
"3","28.0","70.0","50.0","89.0","84.0","15.0","26.0","19.0","89.0","84.0","15.0","60.0","83.0","89.0","84.0","15.0","26.0","83.0","89.0","62.0","15.0","26.0","83.0","68.0","62.0","15.0","60.0","50.0","35.0","62.0"
"4","30.0","70.0","50.0","68.0","84.0","15.0","60.0","19.0","35.0","30.0","28.0","60.0","25.0","68.0","62.0","15.0","5.0","50.0","68.0","62.0","15.0","60.0","19.0","68.0","62.0","52.0","60.0","19.0","4.0","62.0"
"5","30.0","70.0","50.0","68.0","84.0","15.0","5.0","19.0","68.0","62.0","28.0","5.0","19.0","35.0","62.0","15.0","60.0","50.0","68.0","62.0","15.0","5.0","83.0","68.0","62.0","30.0","5.0","83.0","89.0","84.0"
"6","28.0","60.0","19.0","68.0","84.0","52.0","60.0","83.0","68.0","30.0","52.0","60.0","25.0","4.0","30.0","52.0","60.0","19.0","68.0","84.0","15.0","5.0","83.0","35.0","62.0","15.0","60.0","50.0","68.0","62.0"
"7","30.0","60.0","25.0","68.0","1.0","15.0","5.0","19.0","68.0","62.0","15.0","70.0","83.0","35.0","1.0","30.0","60.0","83.0","35.0","62.0","52.0","26.0","50.0","4.0","30.0","28.0","5.0","25.0","68.0","62.0"
"8","30.0","26.0","50.0","89.0","30.0","28.0","70.0","19.0","35.0","62.0","15.0","5.0","25.0","35.0","30.0","28.0","60.0","25.0","35.0","62.0","52.0","60.0","19.0","4.0","62.0","52.0","60.0","25.0","35.0","1.0"
"9","30.0","5.0","25.0","68.0","84.0","15.0","26.0","25.0","4.0","62.0","28.0","5.0","50.0","35.0","84.0","30.0","5.0","19.0","89.0","62.0","52.0","26.0","50.0","68.0","84.0","15.0","60.0","25.0","89.0","84.0"
"10","30.0","26.0","?","68.0","84.0","15.0","70.0","50.0","?","62.0","30.0","70.0","83.0","35.0","1.0","15.0","26.0","19.0","89.0","62.0","28.0","26.0","83.0","35.0","84.0","15.0","60.0","50.0","89.0","62.0"
"11","30.0","5.0","19.0","89.0","30.0","28.0","70.0","19.0","68.0","1.0","15.0","26.0","25.0","35.0","62.0","15.0","60.0","83.0","68.0","62.0","30.0","70.0","83.0","68.0","1.0","52.0","60.0","50.0","35.0","62.0"
"12","28.0","5.0","25.0","68.0","30.0","30.0","5.0","25.0","35.0","62.0","15.0","60.0","19.0","68.0","84.0","52.0","60.0","19.0","68.0","1.0","15.0","5.0","19.0","35.0","84.0","52.0","60.0","83.0","68.0","62.0"
"13","28.0","5.0","25.0","89.0","84.0","28.0","60.0","19.0","35.0","30.0","52.0","60.0","25.0","68.0","62.0","15.0","26.0","50.0","68.0","84.0","15.0","70.0","50.0","89.0","84.0","30.0","70.0","83.0","4.0","1.0"
"14","28.0","70.0","50.0","68.0","84.0","30.0","5.0","25.0","4.0","62.0","30.0","5.0","83.0","35.0","84.0","28.0","70.0","19.0","4.0","84.0","15.0","26.0","25.0","89.0","62.0","15.0","26.0","83.0","68.0","84.0"
"15","30.0","5.0","25.0","68.0","30.0","30.0","5.0","25.0","89.0","30.0","28.0","70.0","50.0","35.0","62.0","15.0","26.0","25.0","68.0","62.0","52.0","60.0","83.0","35.0","1.0","30.0","70.0","50.0","68.0","84.0"
"16","30.0","70.0","50.0","89.0","1.0","15.0","26.0","19.0","89.0","30.0","15.0","60.0","50.0","4.0","62.0","15.0","5.0","83.0","68.0","62.0","28.0","26.0","25.0","68.0","62.0","52.0","60.0","83.0","35.0","30.0"
"17","28.0","60.0","?","89.0","84.0","28.0","70.0","?","35.0","62.0","15.0","26.0","19.0","35.0","62.0","15.0","70.0","50.0","35.0","62.0","52.0","70.0","25.0","35.0","62.0","15.0","26.0","25.0","68.0","62.0"
"18","28.0","5.0","50.0","68.0","84.0","52.0","5.0","83.0","68.0","84.0","52.0","70.0","25.0","68.0","62.0","15.0","26.0","25.0","35.0","84.0","28.0","70.0","19.0","4.0","62.0","15.0","60.0","25.0","89.0","62.0"
