"subject_id","X1__0","X2__0","X3__0","X4__0","X5__0","X1__1","X2__1","X3__1","X4__1","X5__1","X1__2","X2__2","X3__2","X4__2","X5__2","X1__3","X2__3","X3__3","X4__3","X5__3","X1__4","X2__4","X3__4","X4__4","X5__4","X1__5","X2__5","X3__5","X4__5","X5__5"
"0","49.0","77.0","96.0","15.0","57.0","74.0","77.0","56.0","20.0","8.0","74.0","18.0","96.0","20.0","34.0","74.0","18.0","96.0","15.0","34.0","6.0","48.0","70.0","20.0","34.0","74.0","76.0","96.0","20.0","34.0"
"1","49.0","77.0","96.0","29.0","57.0","6.0","18.0","24.0","29.0","34.0","6.0","18.0","70.0","36.0","34.0","6.0","48.0","70.0","36.0","26.0","6.0","76.0","24.0","20.0","57.0","74.0","18.0","70.0","36.0","34.0"
"2","6.0","77.0","96.0","15.0","57.0","6.0","76.0","96.0","20.0","34.0","6.0","18.0","70.0","36.0","8.0","6.0","48.0","24.0","29.0","34.0","74.0","76.0","96.0","20.0","26.0","6.0","48.0","56.0","29.0","26.0"
"3","89.0","48.0","96.0","15.0","34.0","74.0","48.0","96.0","29.0","57.0","74.0","76.0","70.0","20.0","26.0","6.0","18.0","96.0","20.0","57.0","74.0","48.0","96.0","20.0","26.0","74.0","18.0","96.0","20.0","34.0"
"4","6.0","77.0","96.0","15.0","26.0","74.0","77.0","56.0","36.0","8.0","6.0","76.0","70.0","36.0","57.0","6.0","48.0","24.0","29.0","57.0","74.0","18.0","56.0","36.0","8.0","6.0","76.0","24.0","36.0","57.0"
"5","89.0","48.0","96.0","29.0","8.0","6.0","18.0","24.0","20.0","57.0","6.0","76.0","56.0","36.0","26.0","6.0","48.0","70.0","36.0","34.0","6.0","77.0","70.0","36.0","34.0","74.0","76.0","96.0","29.0","8.0"
"6","49.0","48.0","56.0","29.0","57.0","74.0","76.0","96.0","29.0","26.0","74.0","18.0","56.0","29.0","26.0","6.0","48.0","70.0","20.0","26.0","6.0","77.0","70.0","36.0","8.0","74.0","48.0","24.0","20.0","57.0"
"7","6.0","18.0","56.0","15.0","57.0","74.0","18.0","70.0","36.0","8.0","6.0","48.0","70.0","20.0","34.0","6.0","18.0","56.0","15.0","8.0","6.0","18.0","56.0","15.0","26.0","74.0","76.0","70.0","36.0","8.0"
"8","6.0","77.0","56.0","29.0","34.0","6.0","76.0","24.0","20.0","57.0","6.0","18.0","96.0","20.0","57.0","6.0","18.0","56.0","36.0","57.0","6.0","18.0","56.0","36.0","57.0","6.0","48.0","70.0","36.0","34.0"
"9","6.0","48.0","56.0","36.0","57.0","74.0","48.0","70.0","36.0","57.0","6.0","77.0","70.0","36.0","34.0","6.0","76.0","96.0","20.0","34.0","6.0","76.0","96.0","20.0","8.0","6.0","77.0","56.0","36.0","26.0"
"10","89.0","77.0","96.0","15.0","8.0","74.0","18.0","24.0","15.0","57.0","6.0","77.0","70.0","36.0","34.0","74.0","76.0","24.0","20.0","57.0","6.0","18.0","96.0","20.0","26.0","74.0","48.0","96.0","20.0","26.0"
"11","89.0","48.0","96.0","36.0","57.0","74.0","76.0","96.0","15.0","26.0","74.0","48.0","70.0","20.0","34.0","6.0","18.0","56.0","36.0","8.0","6.0","76.0","24.0","20.0","34.0","6.0","76.0","70.0","36.0","57.0"
"12","49.0","48.0","56.0","15.0","57.0","74.0","77.0","24.0","29.0","57.0","74.0","18.0","96.0","20.0","26.0","74.0","18.0","56.0","29.0","57.0","74.0","76.0","70.0","29.0","8.0","74.0","76.0","24.0","36.0","8.0"
"13","89.0","48.0","56.0","15.0","34.0","6.0","77.0","96.0","29.0","34.0","74.0","18.0","70.0","36.0","26.0","6.0","76.0","56.0","36.0","57.0","6.0","18.0","70.0","36.0","34.0","6.0","48.0","70.0","36.0","34.0"
"14","89.0","77.0","56.0","36.0","57.0","6.0","76.0","96.0","36.0","34.0","74.0","76.0","24.0","29.0","8.0","6.0","76.0","70.0","36.0","8.0","49.0","48.0","70.0","36.0","34.0","6.0","77.0","24.0","29.0","57.0"
"15","6.0","48.0","96.0","29.0","8.0","74.0","18.0","56.0","36.0","26.0","6.0","76.0","70.0","36.0","34.0","89.0","76.0","96.0","20.0","26.0","6.0","77.0","70.0","29.0","8.0","6.0","76.0","96.0","20.0","34.0"
"16","89.0","77.0","96.0","15.0","8.0","49.0","77.0","24.0","36.0","57.0","74.0","76.0","96.0","29.0","8.0","6.0","18.0","96.0","29.0","57.0","6.0","48.0","70.0","36.0","8.0","49.0","48.0","24.0","15.0","57.0"
"17","6.0","48.0","56.0","15.0","8.0","74.0","76.0","70.0","36.0","26.0","6.0","48.0","70.0","29.0","34.0","6.0","76.0","96.0","20.0","26.0","6.0","76.0","70.0","36.0","8.0","74.0","77.0","56.0","36.0","8.0"
"18","6.0","48.0","96.0","15.0","8.0","6.0","18.0","96.0","20.0","34.0","6.0","18.0","56.0","36.0","57.0","6.0","76.0","96.0","15.0","57.0","6.0","18.0","96.0","20.0","26.0","74.0","48.0","70.0","36.0","34.0"
"19","6.0","48.0","96.0","15.0","34.0","6.0","76.0","70.0","36.0","34.0","6.0","76.0","24.0","29.0","57.0","6.0","48.0","70.0","36.0","34.0","6.0","48.0","96.0","20.0","34.0","6.0","48.0","24.0","36.0","57.0"
"20","6.0","77.0","96.0","29.0","34.0","6.0","76.0","96.0","15.0","34.0","6.0","48.0","70.0","36.0","57.0","74.0","48.0","56.0","36.0","8.0","74.0","77.0","24.0","36.0","57.0","6.0","76.0","96.0","36.0","34.0"
"21","89.0","48.0","96.0","36.0","34.0","74.0","76.0","96.0","29.0","57.0","6.0","48.0","70.0","20.0","34.0","6.0","76.0","24.0","29.0","57.0","74.0","76.0","96.0","20.0","26.0","6.0","77.0","56.0","36.0","8.0"
"22","6.0","48.0","96.0","15.0","8.0","49.0","76.0","70.0","36.0","57.0","6.0","48.0","70.0","15.0","34.0","6.0","18.0","96.0","20.0","57.0","74.0","48.0","70.0","36.0","34.0","74.0","18.0","56.0","29.0","26.0"
"23","89.0","48.0","96.0","15.0","8.0","74.0","18.0","56.0","15.0","8.0","6.0","48.0","70.0","15.0","34.0","6.0","48.0","96.0","20.0","57.0","6.0","18.0","96.0","20.0","8.0","74.0","76.0","24.0","20.0","34.0"
"24","89.0","77.0","56.0","15.0","8.0","74.0","48.0","70.0","20.0","57.0","74.0","77.0","56.0","29.0","26.0","6.0","18.0","96.0","15.0","8.0","6.0","76.0","24.0","20.0","34.0","6.0","76.0","24.0","20.0","57.0"
